Glyph Number,Left Bearing,Right Bearing,SVG Path
771,-13,14,M4-6L2-7-1-7-3-6-4-5-5-2-5 1-4 3-2 4 1 4 3 3 4 1M5-7L4 1 4 3 6 4 8 4 10 2 11-1 11-3 10-6 9-8 7-10 5-11 2-12-1-12-4-11-6-10-8-8-9-6-10-3-10 0-9 3-8 5-6 7-4 8-1 9 2 9 5 8 7 7 8 6
772,-11,11,M-9-16L9 16
773,-7,6,M-3-16L-3 16M-3-16L3-16M-3 16L3 16
774,-6,7,M3-16L3 16M-3-16L3-16M-3 16L3 16
775,-7,6,M2-16L0-15-1-13-1-11 1-6 1-4 0-2-1-1-3 0-1 1 0 2 1 4 1 6-1 11-1 13 0 15 2 16
776,-6,7,M-2-16L0-15 1-13 1-11-1-6-1-4 0-2 1-1 3 0 1 1 0 2-1 4-1 6 1 11 1 13 0 15-2 16
777,-11,11,M-8 2L0-3 8 2
778,-12,12,M-9 2L-9 0-8-2-6-3-4-3-2-2 2 1 4 2 6 2 8 1 9-1 9-3
779,-6,5,M-3-12L2-7
