Glyph Number,NWL Section,NWL Pronunciation,Unicode,Unicode Name,Unicode Source
4938,Kanji,Chō,U+9577,,Unihan
4940,Kanji,Mon,U+9580,,Unihan
4944,Kanji,Mon,U+554F,,Unihan
4945,Kanji,Hei,U+9589,,Unihan
4949,Kanji,Kan,U+9593,,Unihan
4950,Kanji,Kai,U+958B,,Unihan
4958,Kanji,Kan,U+95A2,,Unihan
4959,Kanji,"Bun, Mon",U+805E,,Unihan
4987,Kanji,Gen,U+9650,,Unihan
4993,Kanji,"Ji, Jo",U+9664,,Unihan
4994,Kanji,Kō,U+964D,,Unihan
5005,Kanji,"Roku, Riku",U+9678,,Unihan
5006,Kanji,"On, An, In",U+9670,,Unihan
5012,Kanji,Yō,U+967D,,Unihan
5030,Kanji,Yū,U+96C4,,Unihan
5038,Kanji,Nan,U+96E3,,Unihan
5040,Kanji,Ri,U+96E2,,Unihan
5042,Kanji,U,U+96E8,,Unihan
5044,Kanji,Setsu,U+96EA,,Unihan
5046,Kanji,Un,U+96F2,,Unihan
5048,Kanji,Rei,U+96F6,,Unihan
5049,Kanji,Rai,U+96F7,,Unihan
5050,Kanji,Den,U+96FB,,Unihan
5055,Kanji,Shin,U+9707,,Unihan
5056,Kanji,"Rei, Ryō",U+970A,,Unihan
5076,Kanji,"Sei, Shō",U+9752,,Unihan
5077,Kanji,"Jō, Sei",U+9759,,Unihan
5080,Kanji,Hi,U+975E,,Unihan
5083,Kanji,Hi,U+7FE1,,Unihan
5087,Kanji,Men,U+9762,,Unihan
5088,Kanji,Kaku,U+9769,,Unihan
5110,Kanji,"On, In",U+97F3,,Unihan
5138,Kanji,Rui,U+985E,,Unihan
5148,Kanji,"Fu, Fū",U+98A8,,Unihan
5152,Kanji,Hi,U+98DB,,Unihan
5154,Kanji,"Shi, Jiki, Shoku",U+98DF,,Unihan
5186,Kanji,Shu,U+9996,,Unihan
5188,Kanji,Kō,U+9999,,Unihan
5191,Kanji,"Me, Ba, Ma",U+99AC,,Unihan
5220,Kanji,"Ken, Gen",U+9A13,,Unihan
5236,Kanji,Kotsu,U+9AA8,,Unihan
5248,Kanji,Kō,U+9AD8,,Unihan
5276,Kanji,Ki,U+9B3C,,Unihan
5281,Kanji,Gyo,U+9B5A,,Unihan
5340,Kanji,Chō,U+9CE5,,Unihan
5375,Kanji,Roku,U+9E7F,,Unihan
5385,Kanji,Baku,U+9EA6,,Unihan
5390,Kanji,Ma,U+9EBB,,Unihan
5399,Kanji,"Kō, Ō",U+9EC4,,Unihan
5403,Kanji,Koku,U+9ED2,,Unihan
5404,Kanji,Boku,U+58A8,,Unihan
5415,Kanji,Ko,U+9F13,,Unihan
5421,Kanji,Bi,U+9F3B,,Unihan
5428,Kanji,Shi,"U+6B6F,U+9F52",,Unihan
5440,Kanji,"Ryū, Ryō","U+7ADC,U+9F8D",,Unihan
5445,Kanji,"Ki, Kin","U+4E80,U+9F9C",,Unihan
6000,Hiragana,A,U+3042,,
6001,Hiragana,I,U+3044,,
6002,Hiragana,U,U+3046,,
6003,Hiragana,E,U+3048,,
6004,Hiragana,O,U+304A,,
6005,Hiragana,Ka,U+304B,,
6006,Hiragana,Ki,U+304D,,
6007,Hiragana,Ku,U+304F,,
6008,Hiragana,Ke,U+3051,,
6009,Hiragana,Ko,U+3053,,
6010,Hiragana,Sa,U+3055,,
6011,Hiragana,Shi,U+3057,,
6012,Hiragana,Su,U+3059,,
6013,Hiragana,Se,U+305B,,
6014,Hiragana,So,U+305D,,
6015,Hiragana,Ta,U+305F,,
6016,Hiragana,Chi,U+3061,,
6017,Hiragana,Tsu,U+3064,,
6018,Hiragana,Te,U+3066,,
6019,Hiragana,To,U+3068,,
6020,Hiragana,Na,U+306A,,
6021,Hiragana,Ni,U+306B,,
6022,Hiragana,Nu,U+306C,,
6023,Hiragana,Ne,U+306D,,
6024,Hiragana,No,U+306E,,
6025,Hiragana,Ha,U+306F,,
6026,Hiragana,Hi,U+3072,,
6027,Hiragana,Fu,U+3075,,
6028,Hiragana,He,U+3078,,
6029,Hiragana,Ho,U+307B,,
6030,Hiragana,Ma,U+307E,,
6031,Hiragana,Mi,U+307F,,
6032,Hiragana,Mu,U+3080,,
6033,Hiragana,Me,U+3081,,
6034,Hiragana,Mo,U+3082,,
6035,Hiragana,Ya,U+3084,,
6036,Hiragana,Yi,U+1B006,,
6037,Hiragana,Yu,U+3086,,
6038,Hiragana,Ye,U+1B001,,
6039,Hiragana,Yo,U+3088,,
6040,Hiragana,Ra,U+3089,,
6041,Hiragana,Ri,U+308A,,
6042,Hiragana,Ru,U+308B,,
6043,Hiragana,Re,U+308C,,
6044,Hiragana,Ro,U+308D,,
6045,Hiragana,Wa,U+308F,,
6046,Hiragana,Wi,U+3090,,
6047,Hiragana,Wu,U+1B11F,,
6048,Hiragana,We,U+3091,,
6049,Hiragana,Wo,U+3092,,
6050,Hiragana,N,U+3093,,
6055,Hiragana,Ga,U+304C,,
6056,Hiragana,Gi,U+304E,,
6057,Hiragana,Gu,U+3050,,
6058,Hiragana,Ge,U+3052,,
6059,Hiragana,Go,U+3054,,
6060,Hiragana,Za,U+3056,,
6061,Hiragana,Ji,U+3058,,
6062,Hiragana,Zu,U+305A,,
6063,Hiragana,Ze,U+305C,,
6064,Hiragana,Zo,U+305E,,
6065,Hiragana,Da,U+3060,,
6066,Hiragana,Ji,U+3062,,
6067,Hiragana,Zu,U+3065,,
6068,Hiragana,De,U+3067,,
6069,Hiragana,Do,U+3069,,
6070,Hiragana,Ba,U+3070,,
6071,Hiragana,Bi,U+3073,,
6072,Hiragana,Bu,U+3076,,
6073,Hiragana,Be,U+3079,,
6074,Hiragana,Bo,U+307C,,
6075,Hiragana,Pa,U+3071,,
6076,Hiragana,Pi,U+3074,,
6077,Hiragana,Pu,U+3077,,
6078,Hiragana,Pe,U+307A,,
6079,Hiragana,Po,U+307D,,
6100,Katakana,A,U+30A2,,
6101,Katakana,I,U+30A4,,
6102,Katakana,U,U+30A6,,
6103,Katakana,E,U+30A8,,
6104,Katakana,O,U+30AA,,
6105,Katakana,Ka,U+30AB,,
6106,Katakana,Ki,U+30AD,,
6107,Katakana,Ku,U+30AF,,
6108,Katakana,Ke,U+30B1,,
6109,Katakana,Ko,U+30B3,,
6110,Katakana,Sa,U+30B5,,
6111,Katakana,Shi,U+30B7,,
6112,Katakana,Su,U+30B9,,
6113,Katakana,Se,U+30BB,,
6114,Katakana,So,U+30BD,,
6115,Katakana,Ta,U+30BF,,
6116,Katakana,Chi,U+30C1,,
6117,Katakana,Tsu,U+30C4,,
6118,Katakana,Te,U+30C6,,
6119,Katakana,To,U+30C8,,
6120,Katakana,Na,U+30CA,,
6121,Katakana,Ni,U+30CB,,
6122,Katakana,Nu,U+30CC,,
6123,Katakana,Ne,U+30CD,,
6124,Katakana,No,U+30CE,,
6125,Katakana,Ha,U+30CF,,
6126,Katakana,Hi,U+30D2,,
6127,Katakana,Fu,U+30D5,,
6128,Katakana,He,U+30D8,,
6129,Katakana,Ho,U+30DB,,
6130,Katakana,Ma,U+30DE,,
6131,Katakana,Mi,U+30DF,,
6132,Katakana,Mu,U+30E0,,
6133,Katakana,Me,U+30E1,,
6134,Katakana,Mo,U+30E2,,
6135,Katakana,Ya,U+30E4,,
6136,Katakana,Yi,U+1B120,,
6137,Katakana,Yu,U+30E6,,
6138,Katakana,Ye,U+1B121,,
6139,Katakana,Yo,U+30E8,,
6140,Katakana,Ra,U+30E9,,
6141,Katakana,Ri,U+30EA,,
6142,Katakana,Ru,U+30EB,,
6143,Katakana,Re,U+30EC,,
6144,Katakana,Ro,U+30ED,,
6145,Katakana,Wa,U+30EF,,
6146,Katakana,Wi,U+30F0,,
6147,Katakana,Wu,U+1B122,,
6148,Katakana,We,U+30F1,,
6149,Katakana,Wo,U+30F2,,
6150,Katakana,N,U+30F3,,
6155,Katakana,Ga,U+30AC,,
6156,Katakana,Gi,U+30AE,,
6157,Katakana,Gu,U+30B0,,
6158,Katakana,Ge,U+30B2,,
6159,Katakana,Go,U+30B4,,
6160,Katakana,Za,U+30B6,,
6161,Katakana,Ji,U+30B8,,
6162,Katakana,Zu,U+30BA,,
6163,Katakana,Ze,U+30BC,,
6164,Katakana,Zo,U+30BE,,
6165,Katakana,Da,U+30C0,,
6166,Katakana,Ji,U+30C2,,
6167,Katakana,Zu,U+30C5,,
6168,Katakana,De,U+30C7,,
6169,Katakana,Do,U+30C9,,
6170,Katakana,Ba,U+30D0,,
6171,Katakana,Bi,U+30D3,,
6172,Katakana,Bu,U+30D6,,
6173,Katakana,Be,U+30D9,,
6174,Katakana,Bo,U+30DC,,
6175,Katakana,Pa,U+30D1,,
6176,Katakana,Pi,U+30D4,,
6177,Katakana,Pu,U+30D7,,
6178,Katakana,Pe,U+30DA,,
6179,Katakana,Po,U+30DD,,
6200,Kanji,.,U+002E,,
6201,Kanji,",",U+002C,,
6202,Kanji,-,U+30FC,,
