Glyph Number,NWL Section,NWL Pronunciation,Unicode,Unicode Name,Unicode Source
868,Kanji,"Ku, Kō",U+53E3,,Unihan
878,Kanji,"Yū, U",U+53F3,,Unihan
882,Kanji,Gō,U+53F7,,Unihan
885,Kanji,Kyū,U+5438,,Unihan
913,Kanji,Mi,U+5473,,Unihan
923,Kanji,"Hin, Hon",U+54C1,,Unihan
931,Kanji,Tetsu,U+54F2,,Unihan
973,Kanji,Kyū,U+55C5,,Unihan
994,Kanji,Ki,U+5668,,Unihan
1025,Kanji,Shi,U+56DB,,Unihan
1026,Kanji,In,U+56E0,,Unihan
1028,Kanji,"E, Kai",U+56DE,,Unihan
1034,Kanji,"To, Zu",U+56F3,,Unihan
1036,Kanji,Ko,U+56FA,,Unihan
1037,Kanji,Koku,U+56FD,,Unihan
1045,Kanji,Ken,U+570F,,Unihan
1050,Kanji,"To, Do",U+571F,,Unihan
1051,Kanji,"Kyo, Ko",U+53BB,,Unihan
1055,Kanji,Zai,U+5728,,Unihan
1056,Kanji,"Chi, Ji",U+5730,,Unihan
1065,Kanji,Kin,U+5747,,Unihan
1077,Kanji,Kei,U+578B,,Unihan
1098,Kanji,Ki,U+57FA,,Unihan
1109,Kanji,Tō,U+5854,,Unihan
1113,Kanji,Jō,U+5834,,Unihan
1125,Kanji,En,U+5869,,Unihan
1135,Kanji,"Kyō, Kei",U+5883,,Unihan
1137,Kanji,Zō,"U+5897,U+589E",,Unihan
1160,Kanji,Shi,U+58EB,,Unihan
1161,Kanji,Tō,U+51AC,,Unihan
1162,Kanji,Sho,U+51E6,,Unihan
1163,Kanji,Kaku,U+5404,,Unihan
1167,Kanji,Seki,U+5915,,Unihan
1168,Kanji,"Ge, Gai",U+5916,,Unihan
1169,Kanji,Ta,U+591A,,Unihan
1170,Kanji,"Myō, Mei",U+540D,,Unihan
1171,Kanji,"Tai, Dai",U+5927,,Unihan
1172,Kanji,"Tai, Ta",U+592A,,Unihan
1185,Kanji,"Jo, Nyo, Nyō",U+5973,,Unihan
1189,Kanji,"Jo, Nyo",U+5982,,Unihan
1208,Kanji,Shi,U+59CB,,Unihan
1264,Kanji,"Shi, Su",U+5B50,,Unihan
1267,Kanji,"Son, Zon",U+5B58,,Unihan
1271,Kanji,Gaku,U+5B66,,Unihan
1280,Kanji,U,U+5B87,,Unihan
1281,Kanji,Ji,U+5B57,,Unihan
1291,Kanji,Chū,U+5B99,,Unihan
1296,Kanji,"Tei, Jō",U+5B9A,,Unihan
1297,Kanji,Jitsu,U+5B9F,,Unihan
1300,Kanji,Shitsu,U+5BA4,,Unihan
1311,Kanji,"Ka, Ke",U+5BB6,,Unihan
1316,Kanji,Mitsu,U+5BC6,,Unihan
1322,Kanji,Kan,U+5BD2,,Unihan
1354,Kanji,Dō,U+5C0E,,Unihan
1355,Kanji,Shō,U+5C0F,,Unihan
1358,Kanji,Kō,U+5149,,Unihan
1359,Kanji,Tō,U+5F53,,Unihan
1364,Kanji,"Jō, Shō",U+5E38,,Unihan
1377,Kanji,"Seki, Shaku",U+5C3A,,Unihan
1383,Kanji,Bi,U+5C3E,,Unihan
1386,Kanji,Kutsu,U+5C48,,Unihan
1387,Kanji,"Ko, Kyo",U+5C45,,Unihan
1402,Kanji,Sō,U+5C64,,Unihan
1407,Kanji,San,U+5C71,,Unihan
1418,Kanji,Tan,U+70AD,,Unihan
1431,Kanji,Ran,U+5D50,,Unihan
1447,Kanji,Sen,U+5DDD,,Unihan
1451,Kanji,"Ku, Kō",U+5DE5,,Unihan
1455,Kanji,Sa,U+5DE6,,Unihan
1459,Kanji,Kō,U+9805,,Unihan
1466,Kanji,"Ken, Kan",U+5DFB,,Unihan
1468,Kanji,Fu,U+5E03,,Unihan
1469,Kanji,Han,U+5E06,,Unihan
1484,Kanji,Fuku,U+5E45,,Unihan
1492,Kanji,Kan,U+5E72,,Unihan
1496,Kanji,Ki,U+5E7E,,Unihan
1504,Kanji,Ō,U+5FDC,,Unihan
1508,Kanji,Tei,U+5E95,,Unihan
1511,Kanji,"Do, Taku, To",U+5EA6,,Unihan
1514,Kanji,Tei,U+5EAD,,Unihan
1515,Kanji,Za,U+5EA7,,Unihan
1556,Kanji,Shiki,U+5F0F,,Unihan
1560,Kanji,Kyū,U+5F13,,Unihan
1562,Kanji,In,U+5F15,,Unihan
1567,Kanji,Ko,U+5F27,,Unihan
1568,Kanji,Gen,U+5F26,,Unihan
1571,Kanji,"Kyō, Gō",U+5F37,,Unihan
1575,Kanji,Dan,U+5F3E,,Unihan
1582,Kanji,Ki,U+5E30,,Unihan
1589,Kanji,"Gyō, Kei",U+5F62,,Unihan
1598,Kanji,Eki,U+5F79,,Unihan
1602,Kanji,Kei,U+5F84,,Unihan
1604,Kanji,Hi,U+5F7C,,Unihan
1610,Kanji,"Go, Kō",U+5F8C,,Unihan
1613,Kanji,"Shō, Ju, Jū",U+5F93,,Unihan
1614,Kanji,To,U+5F92,,Unihan
1621,Kanji,Jutsu,U+8853,,Unihan
1628,Kanji,"Go, Gyo",U+5FA1,,Unihan
1631,Kanji,"Bi, Mi",U+5FAE,,Unihan
1638,Kanji,Shō,U+885D,,Unihan
1641,Kanji,Kō,U+8861,,Unihan
1645,Kanji,Shin,U+5FC3,,Unihan
1666,Kanji,"Sei, Shō",U+6027,,Unihan
1683,Kanji,Kō,U+6052,,Unihan
1710,Kanji,Waku,U+60D1,,Unihan
1728,Kanji,Sō,U+60F3,,Unihan
1731,Kanji,Kan,U+611F,,Unihan
1743,Kanji,Tai,U+614B,,Unihan
1756,Kanji,Kan,U+6163,,Unihan
1794,Kanji,Ka,U+6208,,Unihan
1799,Kanji,"Sei, Jō",U+6210,,Unihan
1802,Kanji,"Waku, Koku",U+6216,,Unihan
1817,Kanji,Ko,U+6238,,Unihan
1823,Kanji,Sen,U+6247,,Unihan
1827,Kanji,Shu,U+624B,,Unihan
1855,Kanji,Setsu,U+6298,,Unihan
1885,Kanji,Ō,U+62BC,,Unihan
1903,Kanji,Ji,U+6301,,Unihan
1904,Kanji,Shi,U+6307,,Unihan
1914,Kanji,"Tei, Chō",U+633A,,Unihan
1920,Kanji,Shin,U+632F,,Unihan
1942,Kanji,"Rei, Retsu",U+6369,,Unihan
1951,Kanji,Setsu,U+63A5,,Unihan
1987,Kanji,Teki,U+6458,,Unihan
2039,Kanji,Shi,U+652F,,Unihan
2044,Kanji,Ko,U+6545,,Unihan
2052,Kanji,Kyō,U+6559,,Unihan
2056,Kanji,San,U+6563,,Unihan
2057,Kanji,"Saku, Soku, Su, Sū",U+6570,,Unihan
2064,Kanji,"Mon, Bun",U+6587,,Unihan
2067,Kanji,Tai,U+5BFE,,Unihan
2074,Kanji,Sha,U+659C,,Unihan
2080,Kanji,Shin,U+65B0,,Unihan
2082,Kanji,Hō,U+65B9,,Unihan
2083,Kanji,O,U+65BC,,Unihan
2084,Kanji,Hō,U+653E,,Unihan
2097,Kanji,"Jitsu,Nichi,Nitsu",U+65E5,,Unihan
2100,Kanji,"Sa, Sō, Satsu",U+65E9,,Unihan
2107,Kanji,"Eki, I",U+6613,,Unihan
2108,Kanji,"Shaku, Seki",U+6614,,Unihan
2110,Kanji,"Mei, Myō, Min",U+660E,,Unihan
2119,Kanji,Saku,U+6628,,Unihan
2121,Kanji,"Sei, Shō",U+661F,,Unihan
2122,Kanji,Shun,U+6625,,Unihan
2126,Kanji,Ji,U+6642,,Unihan
2137,Kanji,Shō,U+6676,,Unihan
2138,Kanji,Sho,U+6691,,Unihan
2141,Kanji,Ryō,U+91CF,,Unihan
2143,Kanji,Sei,U+6674,,Unihan
2146,Kanji,Sai,U+6700,,Unihan
2154,Kanji,An,U+6697,,Unihan
2160,Kanji,Don,U+66C7,,Unihan
2164,Kanji,Dai,U+984C,,Unihan
2169,Kanji,"Getsu, Gatsu",U+6708,,Unihan
2170,Kanji,"Boku, Moku",U+6728,,Unihan
2194,Kanji,Seki,U+6790,,Unihan
2210,Kanji,Rin,U+6797,,Unihan
2211,Kanji,"Shi, Ki",U+679D,,Unihan
2212,Kanji,Shō,U+677E,,Unihan
2233,Kanji,Ryū,U+67F3,,Unihan
2236,Kanji,Chū,U+67F1,,Unihan
2241,Kanji,"Sō, Shō",U+76F8,,Unihan
2254,Kanji,Kaku,U+6838,,Unihan
2256,Kanji,Ō,U+685C,,Unihan
2261,Kanji,Kon,U+6839,,Unihan
2264,Kanji,Kai,U+68B0,,Unihan
2301,Kanji,Shin,U+68EE,,Unihan
2303,Kanji,Shoku,U+690D,,Unihan
2305,Kanji,"Kyoku, Goku",U+6975,,Unihan
2313,Kanji,Da,U+6955,,Unihan
2324,Kanji,"Raku, Gaku",U+697D,,Unihan
2343,Kanji,Kō,U+69CB,,Unihan
2359,Kanji,Hyō,U+6A19,,Unihan
2361,Kanji,Ō,"U+6A2A,U+6A6B",,Unihan
2378,Kanji,Kyō,U+6A4B,,Unihan
2379,Kanji,Ki,U+6A5F,,Unihan
2412,Kanji,Ketsu,U+6B20,,Unihan
2429,Kanji,Shi,U+6B62,,Unihan
2430,Kanji,Shi,U+6B64,,Unihan
2435,Kanji,Shi,U+96CC,,Unihan
2436,Kanji,Sei,U+6574,,Unihan
2438,Kanji,Retsu,U+5217,,Unihan
2439,Kanji,Shi,U+6B7B,,Unihan
2466,Kanji,Bo,U+6BCD,,Unihan
2467,Kanji,Mai,U+6BCE,,Unihan
2470,Kanji,Hi,U+6BD4,,Unihan
2473,Kanji,Mō,U+6BDB,,Unihan
2478,Kanji,Shi,U+6C0F,,Unihan
2480,Kanji,"Ki, Ke",U+6C17,,Unihan
2482,Kanji,Sui,U+6C34,,Unihan
2503,Kanji,Taku,U+6CA2,,Unihan
2507,Kanji,Ki,"U+6C7D,U+6ECA",,Unihan
2509,Kanji,Ketsu,U+6C7A,,Unihan
2529,Kanji,Ha,U+6CE2,,Unihan
2530,Kanji,Ka,U+6CB3,,Unihan
2534,Kanji,"Yu, Yū",U+6CB9,,Unihan
2535,Kanji,Hō,U+6CD5,,Unihan
2553,Kanji,Kai,U+6D77,,Unihan
2565,Kanji,"Yō, Yu",U+6D8C,,Unihan
2573,Kanji,Shu,U+9152,,Unihan
2576,Kanji,"Ru, Ryū",U+6D41,,Unihan
2599,Kanji,Eki,U+6DB2,,Unihan
2629,Kanji,Ka,U+6E26,,Unihan
2631,Kanji,Shitsu,U+6E7F,,Unihan
2632,Kanji,Soku,U+6E2C,,Unihan
2634,Kanji,On,U+6E29,,Unihan
2637,Kanji,Gen,U+6E1B,,Unihan
2655,Kanji,"Rō, Sō",U+6EDD,,Unihan
2656,Kanji,Gen,U+6E90,,Unihan
2659,Kanji,Yō,U+6EB6,,Unihan
2702,Kanji,Chō,U+6F6E,,Unihan
2743,Kanji,"Ko, Ka",U+706B,,Unihan
2745,Kanji,"Tei, Chō, Tō",U+706F,,Unihan
2750,Kanji,Ro,U+7089,,Unihan
2770,Kanji,"Zen, Nen",U+7136,,Unihan
2772,Kanji,Shō,U+713C,,Unihan
2773,Kanji,"Mu, Bu",U+7121,,Unihan
2797,Kanji,Netsu,U+71B1,,Unihan
2807,Kanji,Rin,U+71D0,,Unihan
2808,Kanji,Nen,U+71C3,,Unihan
2829,Kanji,Ai,U+611B,,Unihan
2832,Kanji,Fu,U+7236,,Unihan
2839,Kanji,Jō,U+72B6,,Unihan
2842,Kanji,Hen,U+7247,,Unihan
2848,Kanji,"Ga, Ge",U+7259,,Unihan
2852,Kanji,"Go, Gyū",U+725B,,Unihan
2857,Kanji,"Butsu, Motsu",U+7269,,Unihan
2860,Kanji,Toku,U+7279,,Unihan
2868,Kanji,Ken,U+72AC,,Unihan
2922,Kanji,Ō,U+738B,,Unihan
2923,Kanji,Gyoku,"U+69BB,U+7389",,Unihan
2937,Kanji,Kei,U+73EA,,Unihan
2941,Kanji,Kyū,U+7403,,Unihan
2942,Kanji,Ri,U+7406,,Unihan
2943,Kanji,Gen,U+73FE,,Unihan
2973,Kanji,Ka,U+74DC,,Unihan
2977,Kanji,Ga,U+74E6,,Unihan
2988,Kanji,Kan,U+7518,,Unihan
2991,Kanji,"Shō, Sei",U+751F,,Unihan
2993,Kanji,Yō,U+7528,,Unihan
2994,Kanji,Den,U+7530,,Unihan
2996,Kanji,"Dan, Nan",U+7537,,Unihan
2998,Kanji,Kai,U+754C,,Unihan
3001,Kanji,Shi,U+601D,,Unihan
3008,Kanji,I,U+7570,,Unihan
3042,Kanji,"Byō, Hei",U+75C5,,Unihan
3092,Kanji,"Hotsu, Hatsu",U+767A,,Unihan
3095,Kanji,"Haku, Byaku",U+767D,,Unihan
3097,Kanji,Teki,U+7684,,Unihan
3109,Kanji,Hi,U+76AE,,Unihan
3113,Kanji,"Bei, Myō",U+76BF,,Unihan
3127,Kanji,Moku,U+76EE,,Unihan
3128,Kanji,Gu,U+5177,,Unihan
3164,Kanji,"Mu, Bō",U+77DB,,Unihan
3168,Kanji,Shi,U+77E2,,Unihan
3169,Kanji,Chi,U+77E5,,Unihan
3172,Kanji,Tan,U+77ED,,Unihan
3176,Kanji,"Seki, Shaku",U+77F3,,Unihan
3180,Kanji,Ken,U+7814,,Unihan
3191,Kanji,Ryū,U+786B,,Unihan
3192,Kanji,Shō,U+785D,,Unihan
3200,Kanji,Hō,U+787C,,Unihan
3209,Kanji,Ji,U+78C1,,Unihan
3228,Kanji,"Ji, Shi",U+793A,,Unihan
3264,Kanji,Ri,"U+5229,U+F9DD",,Unihan
3265,Kanji,Shi,U+79C1,,Unihan
3268,Kanji,"Ka, Wa",U+548C,,Unihan
3271,Kanji,Byō,U+79D2,,Unihan
3272,Kanji,Ka,U+79D1,,Unihan
3273,Kanji,Shū,U+79CB,,Unihan
3275,Kanji,Shō,U+79E4,,Unihan
3280,Kanji,Shō,U+79F0,,Unihan
3285,Kanji,Tei,U+7A0B,,Unihan
3294,Kanji,Tō,U+7A32,,Unihan
