Glyph Number,NBS Font,NBS Description,Unicode,Unicode Name
771,Simplex,At,U+0040,
772,Simplex,120-oblique,U+005C,
773,Simplex,Left Bracket,U+005B,
774,Simplex,Right Bracket,U+005D,
775,Simplex,Left Brace,U+007B,
776,Simplex,Right Brace,U+007D,
777,Simplex,Caret,U+005E,
778,Simplex,Approximation,U+007E,
779,Simplex,Grave Accent,U+0060,
