Glyph Number,Page,Position,NWL Section,NWL Pronunciation
1359,172,2,Kanji,Tō
1364,172,3,Kanji,"Jō, Shō"
1377,172,4,Kanji,"Seki, Shaku"
1383,172,5,Kanji,Bi
1386,172,6,Kanji,Kutsu
1387,172,7,Kanji,"Ko, Kyo"
1402,172,8,Kanji,Sō
1407,172,9,Kanji,San
1418,172,10,Kanji,Tan
1431,172,11,Kanji,Ran
1447,172,12,Kanji,Sen
1451,172,13,Kanji,"Ku, Kō"
1455,172,14,Kanji,Sa
1459,172,15,Kanji,Kō
1466,172,16,Kanji,"Ken, Kan"
1468,172,17,Kanji,Fu
1469,172,18,Kanji,Han
1484,172,19,Kanji,Fuku
1492,172,20,Kanji,Kan
1496,173,1,Kanji,Ki
1504,173,2,Kanji,Ō
1508,173,3,Kanji,Tei
1511,173,4,Kanji,"Do, Taku, To"
1514,173,5,Kanji,Tei
1515,173,6,Kanji,Za
1556,173,7,Kanji,Shiki
1560,173,8,Kanji,Kyū
1562,173,9,Kanji,In
1567,173,10,Kanji,Ko
1568,173,11,Kanji,Gen
1571,173,12,Kanji,"Kyō, Gō"
1575,173,13,Kanji,Dan
1582,173,14,Kanji,Ki
1589,173,15,Kanji,"Gyō, Kei"
1598,173,16,Kanji,Eki
1602,173,17,Kanji,Kei
1604,173,18,Kanji,Hi
1610,173,19,Kanji,"Go, Kō"
1613,173,20,Kanji,"Shō, Ju, Jū"
1614,174,1,Kanji,To
1621,174,2,Kanji,Jutsu
1628,174,3,Kanji,"Go, Gyo"
1631,174,4,Kanji,"Bi, Mi"
1638,174,5,Kanji,Shō
1641,174,6,Kanji,Kō
1645,174,7,Kanji,Shin
1666,174,8,Kanji,"Sei, Shō"
1683,174,9,Kanji,Kō
1710,174,10,Kanji,Waku
1728,174,11,Kanji,Sō
1731,174,12,Kanji,Kan
1743,174,13,Kanji,Tai
1756,174,14,Kanji,Kan
1794,174,15,Kanji,Ka
1799,174,16,Kanji,"Sei, Jō"
1802,174,17,Kanji,"Waku, Koku"
1817,174,18,Kanji,Ko
1823,174,19,Kanji,Sen
1827,174,20,Kanji,Shu
1855,175,1,Kanji,Setsu
1885,175,2,Kanji,Ō
1903,175,3,Kanji,Ji
1904,175,4,Kanji,Shi
1914,175,5,Kanji,"Tei, Chō"
1920,175,6,Kanji,Shin
1942,175,7,Kanji,"Rei, Retsu"
1951,175,8,Kanji,Setsu
1987,175,9,Kanji,Teki
2039,175,10,Kanji,Shi
2044,175,11,Kanji,Ko
2052,175,12,Kanji,Kyō
2056,175,13,Kanji,San
2057,175,14,Kanji,"Saku, Soku, Su, Sū"
2064,175,15,Kanji,"Mon, Bun"
2067,175,16,Kanji,Tai
2074,175,17,Kanji,Sha
2080,175,18,Kanji,Shin
2082,175,19,Kanji,Hō
2083,175,20,Kanji,O
2084,176,1,Kanji,Hō
2097,176,2,Kanji,"Jitsu,Nichi,Nitsu"
2100,176,3,Kanji,"Sa, Sō, Satsu"
2107,176,4,Kanji,"Eki, I"
2108,176,5,Kanji,"Shaku, Seki"
2110,176,6,Kanji,"Mei, Myō, Min"
2119,176,7,Kanji,Saku
