Glyph Number,Page,Position,Section,NBS Glyph Number
553,92,13,"Simplex, Cartographic",553
554,92,14,"Simplex, Cartographic",554
555,92,15,"Simplex, Cartographic",555
556,92,16,"Simplex, Cartographic",556
557,92,17,"Simplex, Cartographic",557
558,92,18,"Simplex, Cartographic",558
559,92,19,"Simplex, Cartographic",559
560,92,20,"Simplex, Cartographic",560
561,93,1,"Simplex, Cartographic",561
562,93,2,"Simplex, Cartographic",562
563,93,3,"Simplex, Cartographic",563
564,93,4,"Simplex, Cartographic",564
565,93,5,"Simplex, Cartographic",565
566,93,6,"Simplex, Cartographic",566
567,93,7,"Simplex, Cartographic",567
568,93,8,"Simplex, Cartographic",568
569,93,9,"Simplex, Cartographic",569
570,93,10,"Simplex, Cartographic",570
571,93,11,"Simplex, Cartographic",571
572,93,12,"Simplex, Cartographic",572
573,93,13,"Simplex, Cartographic",573
574,93,14,"Simplex, Cartographic",574
575,93,15,"Simplex, Cartographic",575
576,93,16,"Simplex, Cartographic",576
583,93,17,"Simplex, Cartographic",583
601,94,1,"Simplex, Cartographic",601
602,94,2,"Simplex, Cartographic",602
603,94,3,"Simplex, Cartographic",603
604,94,4,"Simplex, Cartographic",604
605,94,5,"Simplex, Cartographic",605
606,94,6,"Simplex, Cartographic",606
607,94,7,"Simplex, Cartographic",607
608,94,8,"Simplex, Cartographic",608
609,94,9,"Simplex, Cartographic",609
610,94,10,"Simplex, Cartographic",610
611,94,11,"Simplex, Cartographic",611
612,94,12,"Simplex, Cartographic",612
613,94,13,"Simplex, Cartographic",613
614,94,14,"Simplex, Cartographic",614
615,94,15,"Simplex, Cartographic",615
616,94,16,"Simplex, Cartographic",616
617,94,17,"Simplex, Cartographic",617
618,94,18,"Simplex, Cartographic",618
619,94,19,"Simplex, Cartographic",619
620,94,20,"Simplex, Cartographic",620
621,95,1,"Simplex, Cartographic",621
622,95,2,"Simplex, Cartographic",622
623,95,3,"Simplex, Cartographic",623
624,95,4,"Simplex, Cartographic",624
625,95,5,"Simplex, Cartographic",625
626,95,6,"Simplex, Cartographic",626
627,95,7,"Simplex, Cartographic",627
628,95,8,"Simplex, Cartographic",628
629,95,9,"Simplex, Cartographic",629
630,95,10,"Simplex, Cartographic",630
631,95,11,"Simplex, Cartographic",631
632,95,12,"Simplex, Cartographic",632
633,95,13,"Simplex, Cartographic",633
634,95,14,"Simplex, Cartographic",634
635,95,15,"Simplex, Cartographic",635
636,95,16,"Simplex, Cartographic",636
637,95,17,"Simplex, Cartographic",637
638,95,18,"Simplex, Cartographic",638
639,95,19,"Simplex, Cartographic",639
640,95,20,"Simplex, Cartographic",640
641,96,1,"Simplex, Cartographic",641
642,96,2,"Simplex, Cartographic",642
643,96,3,"Simplex, Cartographic",643
644,96,4,"Simplex, Cartographic",644
645,96,5,"Simplex, Cartographic",645
646,96,6,"Simplex, Cartographic",646
647,96,7,"Simplex, Cartographic",647
648,96,8,"Simplex, Cartographic",648
649,96,9,"Simplex, Cartographic",649
650,96,10,"Simplex, Cartographic",650
651,96,11,"Simplex, Cartographic",651
652,96,12,"Simplex, Cartographic",652
653,96,13,"Simplex, Cartographic",653
654,96,14,"Simplex, Cartographic",654
655,96,15,"Simplex, Cartographic",655
656,96,16,"Simplex, Cartographic",656
657,96,17,"Simplex, Cartographic",657
658,96,18,"Simplex, Cartographic",658
659,96,19,"Simplex, Cartographic",659
660,96,20,"Simplex, Cartographic",660
661,97,1,"Simplex, Cartographic",661
662,97,2,"Simplex, Cartographic",662
663,97,3,"Simplex, Cartographic",663
