Glyph Number,Page,Position,Section,NBS Glyph Number
2105,127,5,"Duplex, Principal",2105
2106,127,6,"Duplex, Principal",2106
2107,127,7,"Duplex, Principal",2107
2108,127,8,"Duplex, Principal",2108
2109,127,9,"Duplex, Principal",2109
2110,127,10,"Duplex, Principal",2110
2111,127,11,"Duplex, Principal",2111
2112,127,12,"Duplex, Principal",2112
2113,127,13,"Duplex, Principal",2113
2114,127,14,"Duplex, Principal",2114
2115,127,15,"Duplex, Principal",2115
2116,127,16,"Duplex, Principal",2116
2117,127,17,"Duplex, Principal",2117
2118,127,18,"Duplex, Principal",2118
2119,127,19,"Duplex, Principal",2119
2120,127,20,"Duplex, Principal",2120
2121,128,1,"Duplex, Principal",2121
2122,128,2,"Duplex, Principal",2122
2123,128,3,"Duplex, Principal",2123
2124,128,4,"Duplex, Principal",2124
2125,128,5,"Duplex, Principal",2125
2126,128,6,"Duplex, Principal",2126
2127,128,7,"Duplex, Principal",2127
2128,128,8,"Duplex, Principal",2128
2129,128,9,"Duplex, Principal",2129
2130,128,10,"Duplex, Principal",2130
2131,128,11,"Duplex, Principal",2131
2132,128,12,"Duplex, Principal",2132
2133,128,13,"Duplex, Principal",2133
2134,128,14,"Duplex, Principal",2134
2135,128,15,"Duplex, Principal",2135
2136,128,16,"Duplex, Principal",2136
2137,128,17,"Duplex, Principal",2137
2138,128,18,"Duplex, Principal",2138
2139,128,19,"Duplex, Principal",2139
2140,128,20,"Duplex, Principal",2140
2141,129,1,"Duplex, Principal",2141
2142,129,2,"Duplex, Principal",2142
2143,129,3,"Duplex, Principal",2143
2144,129,4,"Duplex, Principal",2144
2145,129,5,"Duplex, Principal",2145
2146,129,6,"Duplex, Principal",2146
2147,129,7,"Duplex, Principal",2147
2148,129,8,"Duplex, Principal",2148
2149,129,9,"Duplex, Principal",2149
2150,129,10,"Duplex, Principal",2150
2151,129,11,"Duplex, Principal",2151
2152,129,12,"Duplex, Principal",2152
2153,129,13,"Duplex, Principal",2153
2154,129,14,"Duplex, Principal",2154
2155,129,15,"Duplex, Principal",2155
2156,129,16,"Duplex, Principal",2156
2157,129,17,"Duplex, Principal",2157
2158,129,18,"Duplex, Principal",2158
2159,129,19,"Duplex, Principal",2159
2160,129,20,"Duplex, Principal",2160
2161,130,1,"Duplex, Principal",2161
2162,130,2,"Duplex, Principal",2162
2163,130,3,"Duplex, Principal",2163
2164,130,4,"Duplex, Principal",2164
2165,130,5,"Duplex, Principal",2165
2166,130,6,"Duplex, Principal",2166
2167,130,7,"Duplex, Principal",2167
2168,130,8,"Duplex, Principal",2168
2169,130,9,"Duplex, Principal",2169
2170,130,10,"Duplex, Principal",2170
2171,130,11,"Duplex, Principal",2171
2172,130,12,"Duplex, Principal",2172
2173,130,13,"Duplex, Principal",2173
2174,130,14,"Duplex, Principal",2174
2175,130,15,"Duplex, Principal",2175
2176,130,16,"Duplex, Principal",2176
2177,131,1,"Duplex, Principal",2177
2178,131,2,"Duplex, Principal",2178
2179,131,3,"Duplex, Principal",2179
2180,131,4,"Duplex, Principal",2180
2181,131,5,"Duplex, Principal",2181
2184,131,6,"Duplex, Principal",2184
2185,131,7,"Duplex, Principal",2185
2186,131,8,"Duplex, Principal",2186
2191,131,11,"Duplex, Principal",2191
2192,131,12,"Duplex, Principal",2192
2193,131,13,"Duplex, Principal",2193
2194,131,14,"Duplex, Principal",2194
2195,131,15,"Duplex, Principal",2195
2196,131,16,"Duplex, Principal",677
2197,131,17,"Duplex, Principal",2190
2198,131,19,"Duplex, Principal",2198
2199,131,20,"Duplex, Principal",2199
2200,132,1,"Duplex, Principal",2200
2201,132,2,"Duplex, Principal",2201
2202,132,3,"Duplex, Principal",2202
2203,132,4,"Duplex, Principal",2203
2204,132,5,"Duplex, Principal",2204
2205,132,6,"Duplex, Principal",2205
2206,132,7,"Duplex, Principal",2206
2207,132,8,"Duplex, Principal",2207
2208,132,9,"Duplex, Principal",2208
2209,132,10,"Duplex, Principal",2209
2210,132,11,"Duplex, Principal",2210
2211,132,12,"Duplex, Principal",2211
2212,132,13,"Duplex, Principal",2212
2213,132,14,"Duplex, Principal",2213
2214,132,15,"Duplex, Principal",2214
2215,132,16,"Duplex, Principal",2215
2216,132,17,"Duplex, Principal",2216
2217,132,18,"Duplex, Principal",2217
2218,132,19,"Duplex, Principal",2218
2219,132,20,"Duplex, Principal",2219
2220,133,1,"Duplex, Principal",2220
2221,133,2,"Duplex, Principal",2221
2222,133,3,"Duplex, Principal",2222
2223,133,4,"Duplex, Principal",2223
2224,133,5,"Duplex, Principal",2224
2225,133,6,"Duplex, Principal",2225
2226,133,7,"Duplex, Principal",2226
2227,133,8,"Duplex, Principal",2227
2228,133,9,"Duplex, Principal",2228
2229,133,10,"Duplex, Principal",2229
2230,133,11,"Duplex, Principal",2230
2231,133,12,"Duplex, Principal",2231
2232,133,13,"Duplex, Principal",2232
2233,133,14,"Duplex, Principal",2233
2234,133,15,"Duplex, Principal",2234
2235,133,16,"Duplex, Principal",2235
2236,133,17,"Duplex, Principal",2236
2237,133,18,"Duplex, Principal",2237
2238,134,1,"Duplex, Principal",2238
2239,134,2,"Duplex, Principal",2239
2240,134,3,"Duplex, Principal",2240
2241,134,4,"Duplex, Principal",2241
2242,134,5,"Duplex, Principal",2242
2243,134,6,"Duplex, Principal",2243
2244,134,7,"Duplex, Principal",2244
2245,134,8,"Duplex, Principal",2245
2246,134,9,"Duplex, Principal",2246
2251,134,11,"Duplex, Principal",737
2252,134,12,"Duplex, Principal",738
2253,134,13,"Duplex, Principal",739
2254,134,14,"Duplex, Principal",740
2255,134,15,"Duplex, Principal",2255
2256,134,16,"Duplex, Principal",2256
2257,134,17,"Duplex, Principal",2257
2258,134,18,"Duplex, Principal",2258
2259,134,19,"Duplex, Principal",2259
2260,134,20,"Duplex, Principal",2260
2261,135,1,"Duplex, Principal",2261
2262,135,2,"Duplex, Principal",2262
2263,135,3,"Duplex, Principal",2263
2264,135,4,"Duplex, Principal",2264
2265,135,5,"Duplex, Principal",2265
2266,135,6,"Duplex, Principal",2266
2267,135,7,"Duplex, Principal",2267
2268,135,8,"Duplex, Principal",2268
2269,135,9,"Duplex, Principal",2269
2270,135,10,"Duplex, Principal",2270
2271,135,11,"Duplex, Principal",2271
2272,135,12,"Duplex, Principal",2272
2273,135,13,"Duplex, Principal",2273
2274,135,14,"Duplex, Principal",2274
2275,135,15,"Duplex, Principal",2275
2276,135,16,"Duplex, Principal",2276
2277,135,17,"Duplex, Principal",2277
2278,135,18,"Duplex, Principal",2278
2281,136,1,"Duplex, Principal",2281
2282,136,2,"Duplex, Principal",2282
2283,136,3,"Duplex, Principal",2283
2284,136,4,"Duplex, Principal",2284
2285,136,5,"Duplex, Principal",2285
2286,136,6,"Duplex, Principal",2286
2287,136,7,"Duplex, Principal",2287
2288,136,8,"Duplex, Principal",2288
2289,136,9,"Duplex, Principal",2289
2290,136,10,"Duplex, Principal",2290
2301,136,11,"Duplex, Principal",2301
2302,136,12,"Duplex, Principal",2302
2303,136,13,"Duplex, Principal",2303
2304,136,14,"Duplex, Principal",2304
2305,136,15,"Duplex, Principal",2305
2306,136,16,"Duplex, Principal",2306
2307,136,17,"Duplex, Principal",2307
2308,136,18,"Duplex, Principal",2308
2309,136,19,"Duplex, Principal",2309
2310,136,20,"Duplex, Principal",2310
2311,137,1,"Duplex, Principal",2311
2312,137,2,"Duplex, Principal",2312
2318,137,9,"Duplex, Principal",2318
2319,137,10,"Duplex, Principal",2319
2320,137,11,"Duplex, Principal",2320
2321,137,12,"Duplex, Principal",2322
2322,137,13,"Duplex, Principal",2323
2323,137,14,"Duplex, Principal",2324
2324,137,15,"Duplex, Principal",2325
2325,137,16,"Duplex, Principal",2317
2326,137,17,"Duplex, Principal",2326
2327,137,18,"Duplex, Principal",2327
2328,137,19,"Duplex, Principal",2328
2329,137,20,"Duplex, Principal",2329
2330,138,1,"Duplex, Principal",2330
2331,138,2,"Duplex, Principal",2331
2332,138,3,"Duplex, Principal",2332
2401,139,1,"Duplex, Principal",2401
2402,139,2,"Duplex, Principal",2402
2403,140,1,"Duplex, Principal",2403
2404,140,5,"Duplex, Principal",2404
2405,140,2,"Duplex, Principal",2405
2406,140,6,"Duplex, Principal",2406
2407,140,3,"Duplex, Principal",2407
2408,140,7,"Duplex, Principal",2408
2409,140,4,"Duplex, Principal",2409
2410,140,8,"Duplex, Principal",2410
2411,139,3,"Duplex, Principal",2411
2412,139,4,"Duplex, Principal",2412
2501,141,1,"Duplex, Principal",2501
2502,141,2,"Duplex, Principal",2502
2503,141,3,"Duplex, Principal",2503
2504,141,4,"Duplex, Principal",2504
2505,141,5,"Duplex, Principal",2505
2506,141,6,"Duplex, Principal",2506
2507,141,7,"Duplex, Principal",2507
2508,141,8,"Duplex, Principal",2508
2509,141,9,"Duplex, Principal",2509
2510,141,10,"Duplex, Principal",2510
2511,141,11,"Duplex, Principal",2511
2512,141,12,"Duplex, Principal",2512
2513,141,13,"Duplex, Principal",2513
2514,141,14,"Duplex, Principal",2514
2515,141,15,"Duplex, Principal",2515
2516,141,16,"Duplex, Principal",2516
2517,141,17,"Duplex, Principal",2517
2518,141,18,"Duplex, Principal",2518
2519,141,19,"Duplex, Principal",2519
2520,141,20,"Duplex, Principal",2520
2521,142,1,"Duplex, Principal",2521
2522,142,2,"Duplex, Principal",2522
2523,142,3,"Duplex, Principal",2523
2524,142,4,"Duplex, Principal",2524
2525,142,5,"Duplex, Principal",2525
2526,142,6,"Duplex, Principal",2526
2551,142,11,"Duplex, Principal",2551
2552,142,12,"Duplex, Principal",2552
2553,142,13,"Duplex, Principal",2553
2554,142,14,"Duplex, Principal",2554
2555,142,15,"Duplex, Principal",2555
2556,142,16,"Duplex, Principal",2556
2557,142,17,"Duplex, Principal",2557
2558,142,18,"Duplex, Principal",2558
2559,142,19,"Duplex, Principal",2559
2560,142,20,"Duplex, Principal",2560
2561,143,1,"Duplex, Principal",2561
2562,143,2,"Duplex, Principal",2562
2563,143,3,"Duplex, Principal",2563
2564,143,4,"Duplex, Principal",2564
2565,143,5,"Duplex, Principal",2565
2566,143,6,"Duplex, Principal",2566
2567,143,7,"Duplex, Principal",2567
2568,143,8,"Duplex, Principal",2568
2569,143,9,"Duplex, Principal",2569
2570,143,10,"Duplex, Principal",2570
2571,143,11,"Duplex, Principal",2571
2572,143,12,"Duplex, Principal",2572
2573,143,13,"Duplex, Principal",2573
2574,143,14,"Duplex, Principal",2574
2575,143,15,"Duplex, Principal",2575
2576,143,16,"Duplex, Principal",2576
2601,144,1,"Duplex, Principal",2601
2602,144,2,"Duplex, Principal",2602
2603,144,3,"Duplex, Principal",2603
2604,144,4,"Duplex, Principal",2604
2605,144,5,"Duplex, Principal",2605
2606,144,6,"Duplex, Principal",2606
2607,144,7,"Duplex, Principal",2607
2608,144,8,"Duplex, Principal",2608
2609,144,9,"Duplex, Principal",2609
2610,144,10,"Duplex, Principal",2610
2611,144,11,"Duplex, Principal",2611
2612,144,12,"Duplex, Principal",2612
2613,144,13,"Duplex, Principal",2613
2614,144,14,"Duplex, Principal",2614
2615,144,15,"Duplex, Principal",2615
2616,144,16,"Duplex, Principal",2616
2617,144,17,"Duplex, Principal",2617
2618,144,18,"Duplex, Principal",2618
2619,144,19,"Duplex, Principal",2619
2620,144,20,"Duplex, Principal",2620
2621,145,1,"Duplex, Principal",2621
2622,145,2,"Duplex, Principal",2622
2623,145,3,"Duplex, Principal",2623
2624,145,4,"Duplex, Principal",2624
2625,145,5,"Duplex, Principal",2625
2626,145,6,"Duplex, Principal",2626
2651,145,11,"Duplex, Principal",2651
2652,145,12,"Duplex, Principal",2652
2653,145,13,"Duplex, Principal",2653
2654,145,14,"Duplex, Principal",2654
2655,145,15,"Duplex, Principal",2655
2656,145,16,"Duplex, Principal",2656
2657,145,17,"Duplex, Principal",2657
2658,145,18,"Duplex, Principal",2658
2659,145,19,"Duplex, Principal",2659
2660,145,20,"Duplex, Principal",2660
2661,146,1,"Duplex, Principal",2661
2662,146,2,"Duplex, Principal",2662
2663,146,3,"Duplex, Principal",2663
2664,146,4,"Duplex, Principal",2664
2665,146,5,"Duplex, Principal",2665
2666,146,6,"Duplex, Principal",2666
2667,146,7,"Duplex, Principal",2667
2668,146,8,"Duplex, Principal",2668
2669,146,9,"Duplex, Principal",2669
2670,146,10,"Duplex, Principal",2670
2671,146,11,"Duplex, Principal",2671
2672,146,12,"Duplex, Principal",2672
2673,146,13,"Duplex, Principal",2673
2674,146,14,"Duplex, Principal",2674
2675,146,15,"Duplex, Principal",2675
2676,146,16,"Duplex, Principal",2676
2801,147,1,"Duplex, Principal",2801
2802,147,2,"Duplex, Principal",2802
2803,147,3,"Duplex, Principal",2803
2804,147,4,"Duplex, Principal",2804
2805,147,5,"Duplex, Principal",2805
2806,147,6,"Duplex, Principal",2806
2807,147,7,"Duplex, Principal",2807
2808,147,8,"Duplex, Principal",2808
2809,147,9,"Duplex, Principal",2809
2810,147,10,"Duplex, Principal",2810
2811,147,11,"Duplex, Principal",2811
2812,147,12,"Duplex, Principal",2812
2813,147,13,"Duplex, Principal",2813
2814,147,14,"Duplex, Principal",2814
2815,147,15,"Duplex, Principal",2815
2816,147,16,"Duplex, Principal",2816
2817,148,1,"Duplex, Principal",2817
2818,148,2,"Duplex, Principal",2818
2819,148,3,"Duplex, Principal",2819
2820,148,4,"Duplex, Principal",2820
2821,148,5,"Duplex, Principal",2821
2822,148,6,"Duplex, Principal",2822
2823,148,7,"Duplex, Principal",2823
2824,148,8,"Duplex, Principal",2824
2825,148,9,"Duplex, Principal",2825
2826,148,10,"Duplex, Principal",2826
2827,148,11,"Duplex, Principal",2827
2828,148,12,"Duplex, Principal",2828
2829,148,13,"Duplex, Principal",2829
2830,148,14,"Duplex, Principal",2830
2831,148,15,"Duplex, Principal",2831
2832,148,16,"Duplex, Principal",2832
2901,149,1,"Duplex, Principal",2901
2902,149,2,"Duplex, Principal",2902
2903,149,3,"Duplex, Principal",2903
2904,149,4,"Duplex, Principal",2904
2905,149,5,"Duplex, Principal",2905
2906,149,6,"Duplex, Principal",2906
2907,149,7,"Duplex, Principal",2907
2908,149,8,"Duplex, Principal",2908
2909,149,9,"Duplex, Principal",2909
2910,149,10,"Duplex, Principal",2910
2911,149,11,"Duplex, Principal",2911
2912,149,12,"Duplex, Principal",2912
2913,149,13,"Duplex, Principal",2913
2914,149,14,"Duplex, Principal",2914
2915,149,15,"Duplex, Principal",2915
2916,149,16,"Duplex, Principal",2916
2917,150,1,"Duplex, Principal",2917
2918,150,2,"Duplex, Principal",2918
2919,150,3,"Duplex, Principal",2919
2920,150,4,"Duplex, Principal",2920
2921,150,5,"Duplex, Principal",2921
2922,150,6,"Duplex, Principal",2922
2923,150,7,"Duplex, Principal",2923
2924,150,8,"Duplex, Principal",2924
2925,150,9,"Duplex, Principal",2925
2926,150,10,"Duplex, Principal",2926
2927,150,11,"Duplex, Principal",2927
2928,150,12,"Duplex, Principal",2928
2929,150,13,"Duplex, Principal",2929
2930,150,14,"Duplex, Principal",2930
2931,150,15,"Duplex, Principal",2931
2932,150,16,"Duplex, Principal",2932
3001,152,1,"Triplex, English Gothic",3501
3002,152,2,"Triplex, English Gothic",3502
3003,152,3,"Triplex, English Gothic",3503
3004,152,4,"Triplex, English Gothic",3504
3005,152,5,"Triplex, English Gothic",3505
3006,152,6,"Triplex, English Gothic",3506
3007,152,7,"Triplex, English Gothic",3507
3008,152,8,"Triplex, English Gothic",3508
3009,152,9,"Triplex, English Gothic",3509
3010,152,10,"Triplex, English Gothic",3510
3011,152,11,"Triplex, English Gothic",3511
3012,152,12,"Triplex, English Gothic",3512
3013,152,13,"Triplex, English Gothic",3513
3014,152,14,"Triplex, English Gothic",3514
3015,152,15,"Triplex, English Gothic",3515
3016,152,16,"Triplex, English Gothic",3516
3017,152,17,"Triplex, English Gothic",3517
3018,152,18,"Triplex, English Gothic",3518
3019,152,19,"Triplex, English Gothic",3519
3020,152,20,"Triplex, English Gothic",3520
3021,153,1,"Triplex, English Gothic",3521
3022,153,2,"Triplex, English Gothic",3522
3023,153,3,"Triplex, English Gothic",3523
3024,153,4,"Triplex, English Gothic",3524
3025,153,5,"Triplex, English Gothic",3525
3026,153,6,"Triplex, English Gothic",3526
3101,153,11,"Triplex, English Gothic",3601
3102,153,12,"Triplex, English Gothic",3602
3103,153,13,"Triplex, English Gothic",3603
3104,153,14,"Triplex, English Gothic",3604
3105,153,15,"Triplex, English Gothic",3605
3106,153,16,"Triplex, English Gothic",3606
3107,153,17,"Triplex, English Gothic",3607
3108,153,18,"Triplex, English Gothic",3608
3109,153,19,"Triplex, English Gothic",3609
3110,153,20,"Triplex, English Gothic",3610
3111,154,1,"Triplex, English Gothic",3611
3112,154,2,"Triplex, English Gothic",3612
3113,154,3,"Triplex, English Gothic",3613
3114,154,4,"Triplex, English Gothic",3614
3115,154,5,"Triplex, English Gothic",3615
3116,154,6,"Triplex, English Gothic",3616
3117,154,7,"Triplex, English Gothic",3617
3118,154,8,"Triplex, English Gothic",3618
3119,154,9,"Triplex, English Gothic",3619
3120,154,10,"Triplex, English Gothic",3620
3121,154,11,"Triplex, English Gothic",3621
3122,154,12,"Triplex, English Gothic",3622
3123,154,13,"Triplex, English Gothic",3623
3124,154,14,"Triplex, English Gothic",3624
3125,154,15,"Triplex, English Gothic",3625
3126,154,16,"Triplex, English Gothic",3626
3201,155,1,"Triplex, Italian Gothic",3801
3202,155,2,"Triplex, Italian Gothic",3802
3203,155,3,"Triplex, Italian Gothic",3803
3204,155,4,"Triplex, Italian Gothic",3804
3205,155,5,"Triplex, Italian Gothic",3805
3206,155,6,"Triplex, Italian Gothic",3806
3207,155,7,"Triplex, Italian Gothic",3807
3208,155,8,"Triplex, Italian Gothic",3808
3209,155,9,"Triplex, Italian Gothic",3809
3210,155,10,"Triplex, Italian Gothic",3810
3211,155,11,"Triplex, Italian Gothic",3811
3212,155,12,"Triplex, Italian Gothic",3812
3213,155,13,"Triplex, Italian Gothic",3813
3214,155,14,"Triplex, Italian Gothic",3814
3215,155,15,"Triplex, Italian Gothic",3815
3216,155,16,"Triplex, Italian Gothic",3816
3217,155,17,"Triplex, Italian Gothic",3817
3218,155,18,"Triplex, Italian Gothic",3818
3219,155,19,"Triplex, Italian Gothic",3819
3220,155,20,"Triplex, Italian Gothic",3820
3221,156,1,"Triplex, Italian Gothic",3821
3222,156,2,"Triplex, Italian Gothic",3822
3223,156,3,"Triplex, Italian Gothic",3823
3224,156,4,"Triplex, Italian Gothic",3824
3225,156,5,"Triplex, Italian Gothic",3825
3226,156,6,"Triplex, Italian Gothic",3826
3301,156,11,"Triplex, Italian Gothic",3901
3302,156,12,"Triplex, Italian Gothic",3902
3303,156,13,"Triplex, Italian Gothic",3903
3304,156,14,"Triplex, Italian Gothic",3904
3305,156,15,"Triplex, Italian Gothic",3905
3306,156,16,"Triplex, Italian Gothic",3906
3307,156,17,"Triplex, Italian Gothic",3907
3308,156,18,"Triplex, Italian Gothic",3908
3309,156,19,"Triplex, Italian Gothic",3909
3310,156,20,"Triplex, Italian Gothic",3910
3311,157,1,"Triplex, Italian Gothic",3911
3312,157,2,"Triplex, Italian Gothic",3912
3313,157,3,"Triplex, Italian Gothic",3913
3314,157,4,"Triplex, Italian Gothic",3914
3315,157,5,"Triplex, Italian Gothic",3915
3316,157,6,"Triplex, Italian Gothic",3916
3317,157,7,"Triplex, Italian Gothic",3917
3318,157,8,"Triplex, Italian Gothic",3918
3319,157,9,"Triplex, Italian Gothic",3919
3320,157,10,"Triplex, Italian Gothic",3920
3321,157,11,"Triplex, Italian Gothic",3921
3322,157,12,"Triplex, Italian Gothic",3922
3323,157,13,"Triplex, Italian Gothic",3923
3324,157,14,"Triplex, Italian Gothic",3924
3325,157,15,"Triplex, Italian Gothic",3925
3326,157,16,"Triplex, Italian Gothic",3926
3401,158,1,"Triplex, German Gothic",3301
3402,158,2,"Triplex, German Gothic",3302
3403,158,3,"Triplex, German Gothic",3303
3404,158,4,"Triplex, German Gothic",3304
3405,158,5,"Triplex, German Gothic",3305
3406,158,6,"Triplex, German Gothic",3306
3407,158,7,"Triplex, German Gothic",3307
3408,158,8,"Triplex, German Gothic",3308
3409,158,9,"Triplex, German Gothic",3309
3410,158,10,"Triplex, German Gothic",3310
3411,158,11,"Triplex, German Gothic",3311
3412,158,12,"Triplex, German Gothic",3312
3413,158,13,"Triplex, German Gothic",3313
3414,158,14,"Triplex, German Gothic",3314
3415,158,15,"Triplex, German Gothic",3315
3416,158,16,"Triplex, German Gothic",3316
3417,158,17,"Triplex, German Gothic",3317
3418,158,18,"Triplex, German Gothic",3318
3419,158,19,"Triplex, German Gothic",3319
3420,158,20,"Triplex, German Gothic",3320
3421,159,1,"Triplex, German Gothic",3321
3422,159,2,"Triplex, German Gothic",3322
3423,159,3,"Triplex, German Gothic",3323
3424,159,4,"Triplex, German Gothic",3324
3425,159,5,"Triplex, German Gothic",3325
3426,159,6,"Triplex, German Gothic",3326
3501,159,11,"Triplex, German Gothic",3401
3502,159,12,"Triplex, German Gothic",3402
3503,159,13,"Triplex, German Gothic",3403
3504,159,14,"Triplex, German Gothic",3404
3505,159,15,"Triplex, German Gothic",3405
3506,159,16,"Triplex, German Gothic",3406
3507,159,17,"Triplex, German Gothic",3407
3508,159,18,"Triplex, German Gothic",3408
3509,159,19,"Triplex, German Gothic",3409
3510,159,20,"Triplex, German Gothic",3410
3511,160,1,"Triplex, German Gothic",3411
3512,160,2,"Triplex, German Gothic",3412
3513,160,3,"Triplex, German Gothic",3413
3514,160,4,"Triplex, German Gothic",3414
3515,160,5,"Triplex, German Gothic",3415
3516,160,6,"Triplex, German Gothic",3416
3517,160,7,"Triplex, German Gothic",3417
3518,160,8,"Triplex, German Gothic",3418
3519,160,9,"Triplex, German Gothic",3419
3520,160,10,"Triplex, German Gothic",3420
3521,160,11,"Triplex, German Gothic",3421
3522,160,12,"Triplex, German Gothic",3422
3523,160,13,"Triplex, German Gothic",3423
3524,160,14,"Triplex, German Gothic",3424
3525,160,15,"Triplex, German Gothic",3425
3526,160,16,"Triplex, German Gothic",3426
3527,160,17,"Triplex, German Gothic",3427
