Glyph Number,Left Bearing,Right Bearing,SVG Path
62,-14,13,M-11-11L11-11L9-13L7-11M7-11L10-12M-3-11L-3 1M-2-11L-2 1M2-11L2 1M3-11L3 1M-9-8L-9-3M-9-8L-8-7L-8-3M-8-7L8-7M8-7L8-3M7-7L8-8L9-7L9-3M-9-3L9-3M-11 1L11 1L9-1L7 1M7 1L10 0M-5 4L-5 9L-4 10L4 10L5 9L4 8M-5 4L-4 4L-4 8L-3 9L3 9L4 8L4 6M-1 3L0 6L1 6L1 5L-1 3M-8 5L-9 7L-10 8L-10 9L-9 9L-8 7L-8 5M7 5L9 7L10 9L11 9L11 8L10 7L7 5
81,-14,13,M0-10L1-11L-1-12L-1 11M0-11L0 11M-8-6L-10-7L-10 4M-9-6L-9 4M-9-6L8-6M7-6L8-7L10-6L9-4M8-6L8 4M9-6L9 4M-9 3L8 3
82,-14,13,M0-10L1-11L-1-12L-1-6L-2-2L-3 0L-5 2L-8 4M0-11L0-5L-1-2L-2 0L-4 2L-8 4M0-4L1-1L2 1L4 3L5 2L3 1L1-1M-8-7L-10-8L-10 10M-9-7L-9 10M-9-7L8-7M7-7L8-8L10-7L9-5M8-7L8 6L7 8L6 9M8 7L8 8L7 9M9-7L9 8L8 10L7 10L6 9L3 8
92,-14,13,M-7-11L-9-12L-9 4M-8-11L-8 4M-8-11L7-11M6-11L7-12L9-11L8-9M7-11L7 4M8-11L8 4M-1-11L-1 10M0-11L0 10M-8-4L7-4M-8 3L7 3
96,-14,13,M0-10L1-11L-1-12L-1 10M0-11L0 10M-11-6L11-6L9-8L7-6M7-6L10-7M-2-6L-5 0L-8 4L-11 7M-1-5L-3-1L-5 2L-7 4L-11 7M1-5L2-2L3 0L6 4L9 7L11 6M7 4L9 6M1-5L2-3L5 1L8 4L11 6M-5 5L4 5L3 4L2 5
97,-14,13,M-1-12L-1 9M-1-12L0-12L0 9M-8-10L-8-2M-8-10L-7-10L-7-2M-7-3L6-3M6-10L6-2M6-10L7-10L7-2M-10 1L-10 10M-10 1L-9 1L-9 10M-9 9L8 9M8 1L8 10M8 1L9 1L9 10
101,-14,13,M1-12L-1-12L-2-9M1-12L-2-9M-8-9L-10-10L-10 9M-9-9L-9 9M-9-9L9-9M8-9L9-10L11-9L10-7M9-9L9 5L8 7L7 8M9 6L9 7L8 8M10-9L10 7L9 9L8 9L7 8L5 7M-4-5L-4 4M-4-5L-3-4L-3 4M-3-4L3-4M3-4L3 4M2-4L3-5L4-4L4 4M-3 3L3 3
103,-14,13,M-3-10L-2-11L-4-12L-4 9M-3-11L-3 9M3-10L4-11L2-12L2 9M3-11L3 9M-8-7L-10-8L-10 10M-9-7L-9 10M-9-7L8-7M7-7L8-8L10-7L9-5M8-7L8 10M9-7L9 10M-9 1L8 1M-9 9L8 9
107,-14,13,M-1-11L-1 10M0-11L0 10M-6-11L-8-12L-8-2M-7-11L-7-2M-7-11L6-11M5-11L6-12L8-11L7-9M6-11L6-2M7-11L7-2M-7-7L6-7M-7-3L6-3M-11 1L11 1L9 0L8 1M-2 1L-4 4L-7 7L-10 9M-1 2L-5 6L-8 8L-10 9M1 1L2 4L4 7L6 8L9 9L11 8M2 4L4 6L6 7L11 8
108,-14,13,M0-11L1-12L-1-12L-1-2M0-11L0-2M-9-10L9-10L7-11L6-10M-8-6L8-6L7-7L6-6M-10-2L10-2L8-3L7-2M-1-2L-4 1L-8 4L-11 6M-1-2L0-1L-4 2L-7 4L-11 6M0-2L1 1L2 3L4 6L6 8L9 10L11 9M7 8L9 9M2 3L4 5L7 7L11 9M-5 2L-5 8M-4 2L-4 8M-9 9L3 5M-9 9L-7 10L3 5M6 0L3 3M6 0L7 1L3 3
130,-14,13,M-4-12L-2-11L-1-10L0-10L0-11L-2-12L-4-12M-7-6L-1-6M-2-6L-1-7L1-6L0-4M-1-6L-1 6L-2 8L-3 9M-1 7L-1 8L-2 9M0-6L0 8L-1 10L-2 10L-3 9L-5 8M1-6L2-3L4 1L6 4L9 7L11 6M7 4L9 6M1-6L3-2L6 2L8 4L11 6M-11-2L-3-2M-6-2L-5-3L-3-2L-5 0M-5-3L-6 0L-7 2L-9 5L-11 7M-4-2L-5 1L-7 4L-11 7M8-6L4-2M8-6L9-5L4-2
131,-14,13,M-8-10L-6-8L-5-6L-4-6L-4-7L-5-8L-8-10M-10-3L-4-3M-6-3L-5-4L-3-2L-5-1M-5-4L-6 0L-8 4L-11 8M-4-2L-6 2L-8 5L-11 8M0-9L1-11L-1-12L-1 6L-2 8L-3 9M-1 7L-1 8L-2 9M0-11L0 8L-1 10L-2 10L-3 9L-5 8M1-11L1-9L2-4L3-1L4 1L6 4L9 7L11 6M7 4L9 6M1-9L2-5L4-1L6 2L8 4L11 6M8-7L4-2M8-7L9-6L4-2
132,-14,13,M0-10L1-11L-1-12L-1 11M0-11L0 11M-8-10L-7-9L-5-6L-4-6L-4-7L-5-8L-8-10M6-10L3-5M6-10L7-9L3-5M-10-3L10-3L8-5L6-3M6-3L9-4M-11 3L11 3L9 1L7 3M7 3L10 2
138,-14,13,M-9-12L-8-11L-7-9L-6-9L-6-10L-7-11L-9-12M0-12L-2-12L-3-9L-5-4L-6-2L-9 3L-11 6M-1-12L-3-7M0-12L-3-6L-6-1L-8 2L-11 6M-11-8L3-8M2-8L3-9L5-8L4-6M3-8L3-4M4-8L4-4M-4-4L6-4M5-4L6-5L8-4L7-2M6-4L6 1M7-4L7 1M-7 1L9 1M8 1L9 0L11 1L9 4M9 1L8 8L7 9M10 1L9 8L8 10L7 9L5 8M-7 4L-8 6L-9 7L-9 8L-8 8L-7 6L-7 4M-4 4L-3 8L-2 8L-2 7L-4 4M0 4L1 7L2 7L2 6L0 4M3 3L4 4L5 6L6 6L6 5L5 4L3 3
139,-14,13,M-8-12L-7-11L-6-8L-5-8L-5-9L-6-11L-8-12M-3-12L-2-11L-1-8L0-8L0-9L-1-11L-3-12M5-12L3-7M5-12L6-11L3-7M-6-6L-8-7L-8 3M-7-6L-7 3M-7-6L6-6M5-6L6-7L8-6L7-4M6-6L6 3M7-6L7 3M-1-6L-1 11M0-6L0 11M-7-2L6-2M-7 2L6 2M-11 6L11 6L9 5L8 6
146,-14,13,M-4-9L-3-10L-5-11L-5 0L-6 4L-8 7L-11 10M-4-10L-4 0L-5 4L-7 7L-11 10M-11-4L2-5M1-5L2-6L4-5L3-3M2-5L2 8L3 9L10 9L11 8L10 6M9 8L10 8L10 7M3-5L3 7L4 8L8 8L10 6L11 3
154,-14,13,M-3-11L-3-6L-4-1L-5 2L-6 4L-8 7M-2-11L-2-6L-3-1L-4 2L-6 5L-8 7L-11 9M-2-6L-1-2L1 2L3 5L6 8L9 10L11 9M4 5L6 7L9 9M-2-6L-1-3L0-1L2 2L6 6L9 8L11 9M-9-11L6-11M3-11L4-12L6-11L5-10M4-11L2-4M5-10L3-4M2-4L10-4M7-4L8-5L10-4L8-2M8-5L6 0L4 3L1 6L-2 8L-6 10M9-4L7 0L5 3L2 6L-1 8L-3 9L-6 10
156,-14,13,M-9-8L-3-9L2-10L6-11L8-9M0-9L7-10M-9-8L8-9M-1-9L-1 10M0-9L0 10M-11-1L11-1L9-3L7-1M7-1L10-2
162,-14,13,M-1-9L-1 11M0-9L0 11M-6-13L-9-6L-10-4M-6-13L-5-12L-6-10L-10-4M-7-9L9-9L7-11L5-9L8-10M-11-1L11-1L9-3L7-1L10-2
166,-14,13,M0-10L1-11L-1-12L-1-2L-2 0L-3 1M-1-1L-1 0L-2 1M0-11L0 0L-1 2L-2 2L-3 1L-5 0M-6-9L-9-2L-10 0M-6-9L-5-8L-6-6L-10 0M4-9L6-7L8-4L9-4L9-5L7-7L4-9M6-2L5 0L3 3L0 6L-3 8L-5 9M6-2L7-1L4 3L1 6L-2 8L-5 9L-9 10
173,-14,13,M-3-12L-2-13L-4-13L-4 0L-5 4L-7 7L-9 9M-3-12L-3 1L-4 4L-5 6L-7 8L-11 10M3-12L4-13L2-13L2 10M3-12L3 10M-9-10L7-10M6-10L7-11L9-10L8-8M7-10L7-4M8-10L8-4M-7-5L-9-6L-10 2M-8-5L-9 2M-8-5L7-5M-9 0L9 0M8 0L9-1L11 0L9 3M9 0L8 6L7 7M10 0L9 6L8 8L7 7L5 6
179,-14,13,M0-11L1-12L-1-12L-1 10M0-11L0 10M-9-8L8-8L6-10L4-8L7-9M-11-2L11-2L9-4L7-2L10-3M-1-2L-2 1L-4 4L-7 7L-10 9M-1 1L-3 4L-6 7L-10 9M0-2L2 2L4 5L6 7L9 9L11 8M2 2L5 5L8 7L11 8
188,-14,13,M-6-12L-8-7L-11-1M-6-12L-5-11L-6-9L-9-4L-11-1M-6-9L10-9L8-11L6-9M6-9L9-10M0-9L0 10M1-9L1 10M-4-3L-6-4L-6 3M-5-3L-5 3M-5-3L9-3L7-5L5-3M5-3L8-4M-11 3L11 3L9 1L7 3M7 3L10 2
195,-14,13,M-8-10L5-12L7-11M-8-10L7-11M-2-11L-5-6M0-11L-5-6M-7-7L-5-5L-4-3L-3-3L-3-4L-4-5L-7-7M4-8L-1-1M4-8L5-7L-1-1M-10 0L7-1M-10 0L-8 1L7-1M6-3L8-1L9 1L10 1L10 0L9-1L6-3M-1 0L-1 10M0 0L0 10M-6 3L-7 5L-9 8M-6 3L-5 4L-9 8M4 3L6 5L7 7L8 7L8 6L7 5L4 3
196,-14,13,M0-11L1-12L-1-12L-1 10M0-11L0 10M-11-9L11-9L9-11L7-9M7-9L10-10M-6-6L-8-7L-8 1M-7-6L-7 1M-7-6L6-6M5-6L6-7L8-6L7-4M6-6L6 1M7-6L7 1M-7 0L6 0M-2 0L-4 3L-8 7M-1 1L-3 3L-8 7L-11 9M1 0L2 2L4 5L7 7L10 8L11 7M2 2L4 4L7 6L11 7
